sr_no,sector,ministry,agency,project_code,project_name,original_cost,revised_cost,expenditure,physical_progress,original_completion,revised_completion,sanction_date,date_inconsistency_flag,missing_revised_cost_flag,missing_revised_completion_flag,missing_sanction_date_flag
20,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701105,Goa Airport Terminal Building Extension Project,256,255.69,130.0,88,2021-12-09,2025-09-30,2017-11-01,0,0,0,0
21,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Adani Airport Holdings Limited,706724,Guwahati Airport New Integrated Terminal Building Construction Project,1712,,0.0,94,2025-03-31,,2016-12-01,0,1,1,0
22,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Adani Airport Holdings Limited,701091,Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works,3100,,0.0,100,2026-03-31,,2018-06-01,0,1,1,0
23,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611602,"Modernization of Chennai Airport, Phase II, Part 2",1207,,376.47,21,2025-07-31,2026-03-31,2018-05-14,0,1,0,0
24,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611440,Procurment of 30 Nos ACFTs of WT Capacity 10KL at Various Airports,215,,104.92,53,2025-06-30,,,0,1,1,1
25,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612791,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",328,,98.15,44,2025-02-10,2026-08-31,2023-04-01,0,1,0,0
26,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, MOPA [without ASMGCS], HIAL & BIAL",500,,306.21,74,2025-09-11,,,0,1,1,1
27,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",323,,29.69,12,2026-02-06,,2023-11-01,0,1,1,0
28,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613800,JAGANNATHPUR OC RCE PROJECT[3.0 MTY],459,,274.35,92,2025-03-31,2026-03-31,2016-07-25,0,1,0,0
29,Coal,Ministry of Coal,Ministry of Coal,611016,2.0 MTPA BHOJUDIH NLW WASHERY,385,,353.21,97,2020-09-30,2025-09-30,2015-12-08,0,1,0,0
30,Coal,Ministry of Coal,Ministry of Coal,611017,2.5 MTPA PATHERDIH NLW WASHERY,334,,138.69,48,2018-04-30,2026-03-31,2015-10-31,0,1,0,0
31,Coal,Ministry of Coal,Western Coalfields Limited [WCL],616223,ADASA UG TO OC MINE,316,,308.84,86,2024-03-31,2026-03-31,2018-11-16,0,1,0,0
32,Coal,Ministry of Coal,Ministry of Coal,400148,AMADAND OCP[4.0MTY],869,,274.45,75,2021-03-31,2027-03-31,2016-03-05,0,1,0,0
33,Coal,Ministry of Coal,Western Coalfields Limited [WCL],616229,AMAL GONDEGAON GHATROHANA EXPN OCP,669,,0.53,0,2030-03-31,,2024-09-10,0,1,1,0
34,Coal,Ministry of Coal,Ministry of Coal,611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,4012,,398.5,28,2030-03-31,,2023-01-04,0,1,1,0
35,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615185,AMALGAMATED DHANKASA & JAMUNIA UG,399,,72.21,67,2027-03-31,,2022-09-19,0,1,1,0
36,Coal,Ministry of Coal,Western Coalfields Limited [WCL],616050,AMALGAMATED INDER-KAMPTEE DEEP OC,236,,237.12,98,2024-03-31,2026-03-31,2018-09-22,0,1,0,0
37,Coal,Ministry of Coal,Western Coalfields Limited [WCL],400177,AMALGAMATED YEKONA I & YEKONA II OC,727,,524.54,80,2025-03-31,2026-03-31,2015-08-12,0,1,0,0
38,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613798,AMERA OC RCE [1.0 MTY],336,,87.47,42,2026-03-31,,2015-02-04,0,1,1,0
39,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613799,AMGAON OC RCE [1.0 MTY],316,,188.53,71,2026-03-31,,2015-07-25,0,1,1,0
40,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615916,AMLG GAURI PAUNI EXPANSION OC - 9.0 MTY,1225,,78.41,1,2030-03-31,,2024-04-26,0,1,1,0
41,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),616233,BALABHADRA OCP,978,,211.36,8,2030-03-31,,2023-04-19,0,1,1,0
42,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400183,BALARAM EXPANSION OCP,3504,,1027.23,52,2029-03-31,,2020-06-12,0,1,1,0
43,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615330,BALLARPUR NORTH WEST OC MINE,361,,0.0,4,2029-03-31,,2022-12-16,0,1,1,0
44,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400149,BAROUD OC EXPANSION [3.0-10.0MTY],2310,,913.03,47,2029-03-31,,2020-08-04,0,1,1,0
45,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),615193,BASUNDHARA WEST EXTENSION OPENCAST PRO,479,,259.2,62,2027-03-31,,2014-05-01,0,1,1,0
46,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400392,BHARATPUR RE-ORGANIZATION OCP,2839,,1748.9,47,2029-03-31,,2018-11-12,0,1,1,0
47,Coal,Ministry of Coal,Western Coalfields Limited [WCL],400033,BHATADI EXPANSION OC,581,,20.52,26,2028-03-31,,2022-05-19,0,1,1,0
48,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400179,BHUBANESWARI EXPANSION OCP,3145,6321.73,1250.66,21,2031-03-31,,2023-01-04,0,0,1,0
49,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),616231,BHUBANESWARI EXPN OCP 50 MTY,5366,,0.0,3,2033-03-31,,,0,1,1,1
50,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],400369,BINA KAKRI AMALGAMATION EXPANSION OPENCAST MINING PROJECT [14 MTPA],836,,778.77,89,2024-03-31,2027-03-31,2020-08-25,0,1,0,0
51,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],400162,BLOCK B EXPANSION [3.5 TO 8.0 MTPA] OPENCAST COAL MINING PROJECT,999,,458.01,46,2023-03-31,2027-03-31,2019-07-22,0,1,0,0
52,Coal,Ministry of Coal,Ministry of Coal,616253,BLOCK E OCP,5851,,0.0,2,2029-03-31,,2024-03-26,0,1,1,0
53,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400180,BONJEMEHARI EXPANSION OCP,570,570.11,81.29,16,2026-03-31,2026-03-31,2021-08-10,0,0,0,0
54,Coal,Ministry of Coal,Ministry of Coal,400138,CHANDRAGUPT OCP,974,,440.32,15,2032-03-31,,2020-08-04,0,1,1,0
55,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400145,CHHAL OC SEAM III [6 MTY],611,,577.46,85,2022-03-31,2025-09-30,2013-12-16,0,1,0,0
56,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400172,CHITRA EAST OC,514,,228.71,51,2026-03-31,,2018-08-11,0,1,1,0
57,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],616225,CHUPERBHITA SIMLONG OCP MDO 6 MTY,979,,0.0,0,2037-03-31,,2023-12-29,0,1,1,0
58,Coal,Ministry of Coal,Western Coalfields Limited [WCL],400353,DHUPTALA OC [SASTI UG TO OC ],711,,80.33,17,2028-03-31,,2021-10-08,0,1,1,0
59,Coal,Ministry of Coal,Western Coalfields Limited [WCL],400178,DINESH[MAKARDHOKRA-III] OC,823,822.88,621.73,35,2027-03-31,,2020-02-11,0,0,1,0
60,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400354,DIPKA EXPANSION OCP [40 MTY],5241,,2675.0,37,2029-03-31,,2020-12-24,0,1,1,0
61,Coal,Ministry of Coal,SECL - CIL,612838,DIPKA OC,7580,,3091.0,65,2025-03-31,,,0,1,1,1
62,Coal,Ministry of Coal,Ministry of Coal,400156,EPR AMRAPALI OCP,5136,,1125.18,43,2028-03-31,,2020-02-11,0,1,1,0
63,Coal,Ministry of Coal,Ministry of Coal,400155,EPR ASHOK OC,2898,,176.6,21,2028-03-31,,2021-05-10,0,1,1,0
64,Coal,Ministry of Coal,Ministry of Coal,400154,EPR PUNDI OCP,713,,236.57,10,2027-03-31,,2020-11-11,0,1,1,0
65,Coal,Ministry of Coal,Ministry of Coal,400153,EPR ROHINI - KARKETTA OCP,1020,,83.95,20,2028-03-31,,2021-01-18,0,1,1,0
66,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615331,GADEGAON OC 3 MTY,497,,0.0,0,2030-03-31,,2023-10-28,0,1,1,0
67,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615206,GANDHIGRAM UG MINE,414,,13.27,57,2026-03-31,,2019-08-31,0,1,1,0
68,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615917,GAURIDEEP/GAURI CENTRAL OCP 7.00 MTY CP,973,,0.11,0,2030-03-31,,2024-06-06,0,1,1,0
69,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400424,GEVRA OC [70 MTY],11816,,5328.96,77,2023-03-31,2026-03-31,2016-03-05,0,1,0,0
70,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615914,GHONSA EXPANSION DEEP OC MINE 1.5 MTY,185,,10.48,6,2029-03-31,,2021-03-23,0,1,1,0
71,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615860,Godavarikhani Coal Mine - 5,607,,178.82,71,2025-03-31,2026-03-31,2019-07-01,0,1,0,0
72,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615192,GOKUL EXTENSION OC MINE,310,,29.85,8,2026-03-31,,2021-04-23,0,1,1,0
73,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615862,Goleti Opencast Mine,346,,73.25,20,2026-03-31,,2021-07-01,0,1,1,0
74,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400185,GOPALJI KANIHA OCP [10 TO 30 MTY],8416,6107.87,1694.31,17,2030-03-31,,2022-04-25,0,0,1,0
75,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),616232,HINGULA II OC EXPN PH III 15 MTY,1562,,50.15,23,2029-03-31,,,0,1,1,1
76,Coal,Ministry of Coal,ECL - CIL,400018,HURA C OCP,859,,450.47,62,2029-03-31,,2022-08-10,0,1,1,0
77,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615861,Indaram Opencast Project,425,,402.64,80,2025-03-31,2026-03-31,2017-08-01,0,1,0,0
78,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),616226,INTEGRATED KULDA GARJANBAHAL OCP 40 MTY,3564,,150.7,3,2033-03-31,,,0,1,1,1
79,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400187,INTEGRATED LAKHANPUR-BELPAHAR-LILARI OCP,2435,,1805.65,61,2027-03-31,,2018-05-22,0,1,1,0
80,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],612816,ITAPARA OCP,929,,65.61,7,2030-03-31,,2023-12-29,0,1,1,0
81,Coal,Ministry of Coal,SECL - CIL,613795,JAMPALI OC RCE [2.0 MTY],279,,210.07,82,2025-03-31,2025-06-30,2020-05-27,0,1,0,0
82,Coal,Ministry of Coal,CCL - CIL,616236,JARANGDIH EXPN. OCP 1.5 MTY,414,,85.6,26,2029-03-31,,2020-02-03,0,1,1,0
83,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615818,Jawahar Khani Open Cast Mine,298,,46.39,20,2025-03-31,2027-03-31,2021-12-01,0,1,0,0
84,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400312,JHANJRA EXPANSION UG,1210,,514.93,40,2029-03-31,,2020-04-16,0,1,1,0
85,Coal,Ministry of Coal,Ministry of Coal,400352,JHARKHAND-LAIYO OCP,765,,145.81,25,2031-03-31,,2020-08-25,0,1,1,0
86,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613803,JHIRIA WEST OCP [1.5 MTY],367,,25.07,41,2026-03-31,,2024-01-30,0,1,1,0
87,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615859,Kakathiya Khani Opencast - III Project Phase - I,414,,397.55,79,2026-03-31,,2017-03-01,0,1,1,0
88,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615865,Kakatiyakhani OC - 2 Project,442,,203.15,63,2025-03-31,2026-03-31,2017-08-19,0,1,0,0
89,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615858,Kalyanikhani Opencast Project,384,,281.83,75,2026-03-31,,2016-03-01,0,1,1,0
90,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613802,KANCHAN OC EXP,371,,144.61,47,2026-03-31,,2014-12-17,0,1,1,0
91,Coal,Ministry of Coal,Ministry of Coal,400074,KARO EXPANSION OCP,908,,251.79,22,2029-03-31,,2022-01-24,0,1,1,0
92,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],615191,KATKONA RO UG MINE,329,,60.3,2,2029-03-31,,2023-01-29,0,1,1,0
93,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],615183,KHADIA EXPANSION [10 TO 16 MTPA] OPENCAST MINING PROJECT,492,,202.18,40,2025-03-31,2027-03-31,2021-06-01,0,1,0,0
94,Coal,Ministry of Coal,Western Coalfields Limited [WCL],617278,KOLARPIMPRI EXPANSION OC [2.5 MTY],630,,0.0,0,2030-03-31,,2024-06-05,0,1,1,0
95,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615199,KOLGAON EXPANSION DEEP OC MINE 0.80 MTY,199,,0.71,3,2027-03-31,,2023-09-28,0,1,1,0
96,Coal,Ministry of Coal,Ministry of Coal,400073,KONAR EXPANSION OCP,799,,426.16,46,2032-03-31,,2022-01-24,0,1,1,0
97,Coal,Ministry of Coal,Ministry of Coal,400139,KOTRE BASANTPUR PACHMO OCP,861,625.4,441.05,41,2032-03-31,,2020-08-04,0,0,1,0
98,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400147,KUSMUNDA OC EXPANSION [15 TO 50 MTY],7612,,4697.95,81,2023-03-31,2030-03-31,2013-08-03,0,1,0,0
99,Coal,Ministry of Coal,SECL - CIL,617287,KUSMUNDA OC EXPANSION PROJECT 50-75 MTY,4517,,16.97,3,2030-03-31,,2024-11-29,0,1,1,0
100,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613801,MAHAMAYA OCP [1.50 MTY],410,,169.3,38,2026-03-31,,2018-05-24,0,1,1,0
101,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615189,MAKARDHOKRA EXPN OC 4.9 MTY,362,,67.64,12,2026-03-31,,2022-06-14,0,1,1,0
102,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],617288,MANIKPUR OC EXPANSION PROJECT 7 MTY,383,,0.86,1,2029-03-31,,2025-01-13,0,1,1,0
103,Coal,Ministry of Coal,Bharat Coking Coal Limited [BCCL],400313,Master Plan for Jharia and Raniganj Coalfields,2662,,787.75,43,2019-08-11,2028-12-31,2009-08-12,0,1,0,0
104,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400173,MOHANPUR EXPANSION OC -PHASE II,889,,85.51,30,2026-03-31,,2020-11-11,0,1,1,0
105,Coal,Ministry of Coal,BCCL - CIL,400425,MOONIDIH XV SEAM UG,1230,,624.17,81,2019-03-31,2026-05-31,2011-08-12,0,1,0,0
106,Coal,Ministry of Coal,Ministry of Coal,613808,MURAIDIH UG PROJECT,340,,190.65,70,2014-04-30,2026-12-31,2011-02-14,0,1,0,0
107,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615919,N. EXTN. MUNGOLI NIRGUDA D OCP 6.125 MTY,1025,,165.54,0,2030-03-31,,2024-06-05,0,1,1,0
108,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615857,Naini Coal Mine,494,,491.33,80,2026-03-31,,2020-03-01,0,1,1,0
109,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400181,NAKRAKONDA KUMARDIH- B OCP,503,,70.97,25,2029-03-31,,2018-08-11,0,1,1,0
110,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615188,NEW MAJRI UG TO OC 3 MTY COST PLUS,402,,41.08,24,2027-03-31,,2022-09-02,0,1,1,0
111,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],400321,NIGAHI EXPANSION [15 TO 25 MTPA] OPENCAST MINING PROJECT,1730,,772.91,44,2025-03-31,2028-03-31,2020-11-11,0,1,0,0
112,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615982,NILJAI EXPANSION DEEP OCP,320,,367.6,79,2022-03-31,2026-03-31,2016-08-27,0,1,0,0
113,Coal,Ministry of Coal,Ministry of Coal,400151,NORTH URIMARI EXPANSION OCP,779,,695.11,67,2029-03-31,,2021-07-12,0,1,1,0
114,Coal,Ministry of Coal,NLC India Limited [NLCIL],400142,Pachwara South Coal Block,2243,,1165.64,54,2028-09-30,,,0,1,1,1
115,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],616230,PARASCOLE JAMBAD OCP,1194,,6.79,0,2037-03-31,,2024-11-29,0,1,1,0
116,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],613794,PARASEA-BELBAID UG PROJECT,389,,131.42,16,2028-03-31,,2023-01-31,0,1,1,0
117,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],616234,PELMA OC MDO,1725,,15.63,17,2033-03-31,,2022-10-14,0,1,1,0
118,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400144,PORDA CHIMTAPANI OCP [10 MTY],2310,,83.66,10,2029-03-31,,2020-12-24,0,1,1,0
119,Coal,Ministry of Coal,Ministry of Coal,400160,RAJRAPPA RCE OCP,511,,488.57,76,2016-03-31,2027-03-31,2009-12-23,0,1,0,0
120,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615864,Ramagundam OC-II Extension Project,490,,405.54,77,2026-03-31,,2015-11-01,0,1,1,0
121,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400152,RAMPUR BATURA OCP [4.0MTY],1249,,495.4,44,2026-03-31,,2019-07-22,0,1,1,0
122,Coal,Ministry of Coal,Ministry of Coal,400150,RPR MAGADH EXP OCP,7254,,1534.64,38,2028-03-31,,2020-08-04,0,1,1,0
123,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615918,RPR OF BHANEGAON OC,405,,11.71,8,2028-03-31,,2022-09-19,0,1,1,0
124,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615187,RPR OF VISHNUPURI UG TO OC,221,,0.0,11,2029-03-31,,2022-11-04,0,1,1,0
125,Coal,Ministry of Coal,WCL - CIL,613804,RPR TAWA-III UG 0.84 MTY,314,,5.7,17,2027-03-31,,2021-12-28,0,1,1,0
126,Coal,Ministry of Coal,Ministry of Coal,400136,SANGHMITRA OC,2660,,0.0,0,2032-03-31,,2024-03-26,0,1,1,0
127,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615184,SAONER UG MINE -1 EXPANSION 1.2 MTY,229,,139.81,68,2028-03-31,,2022-01-31,0,1,1,0
128,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615186,SASTI EXPANSION OPENCAST,319,,90.96,20,2026-03-31,,2020-08-04,0,1,1,0
129,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615195,SHARDA UG MINE,166,,2.78,9,2028-03-31,,2023-09-05,0,1,1,0
130,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],613793,SHYAMSUNDARPUR UG INCLUDING SARPI,484,,55.89,12,2026-03-31,,2020-04-16,0,1,1,0
131,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400166,SIARMAL OCP,5195,,3455.65,54,2029-03-31,2028-03-31,2021-02-02,1,1,0,0
132,Coal,Ministry of Coal,ECL - CIL,400182,SIDULI [OC & UG],535,,5.05,14,2027-03-31,,2018-05-22,0,1,1,0
133,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615190,SINGHORI DEEP OC MIN 2.0 MTY,336,,26.64,6,2029-03-31,,2022-05-05,0,1,1,0
134,Coal,Ministry of Coal,Ministry of Coal,615822,SIRKA OC,223,,139.31,60,2028-03-31,,2020-05-04,0,1,1,0
135,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400315,SONEPUR BAZARI EXPANSION OCP [12 MTY],5366,,571.02,17,2029-03-31,,2021-07-28,0,1,1,0
136,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400165,SUBHADRA OCP,1694,,1278.66,42,2029-03-31,2029-03-31,2021-03-25,0,1,0,0
137,Coal,Ministry of Coal,Ministry of Coal,615349,TAPIN SOUTH EXPN,230,,21.0,20,2028-03-31,,2020-11-04,0,1,1,0
138,Coal,Ministry of Coal,Ministry of Coal,615843,TETARIAKHAR OC,244,,44.64,28,2025-03-31,2027-03-31,2019-11-04,0,1,0,0
139,Coal,Ministry of Coal,MIS MoCoal Integration Logins,615820,TIKAK EXTENSION OCP,160,,80.84,0,2031-07-04,,2022-07-05,0,1,1,0
140,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400186,TILABONI UG,749,,51.73,10,2029-03-31,2029-03-31,2023-01-31,0,1,0,0
141,Coal,Ministry of Coal,MIS MoCoal Integration Logins,615821,TIRAP OCP,289,,105.47,0,2030-11-27,,2022-11-28,0,1,1,0
142,Coal,Ministry of Coal,Western Coalfields Limited [WCL],616044,UKNI DEEP OC MINE -COST PLUS,237,,159.21,87,2021-03-31,2026-03-31,2019-01-09,0,1,0,0
143,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615194,URDHAN EXPANSION OC COST PLUS,207,,23.22,1,2031-03-31,,2023-01-09,0,1,1,0
144,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615863,Venkatesh Khani Coal Mine,484,,434.44,75,2026-03-31,,2020-10-01,0,1,1,0
145,Coal,Ministry of Coal,Western Coalfields Limited [WCL],617233,WAGHODA UG MINE [1.02 MTY],379,,0.0,0,2030-03-31,,2024-01-29,0,1,1,0
146,Coal,Ministry of Power,National Thermal Power Corporation [NTPC],603293,Badam Coal Mining project of NTPC,502,784.0,302.2,59,2056-12-31,2027-04-01,2019-02-01,1,0,0,0
147,Coal,Ministry of Power,Damodar Valley Corporation,400192,Tubed Coal Mine,1581,,599.18,34,2026-05-31,2026-05-31,,0,1,0,1
