sr_no,sector,ministry,agency,project_code,project_name,original_cost,revised_cost,expenditure,physical_progress,original_completion,revised_completion,sanction_date,date_inconsistency_flag,missing_revised_cost_flag,missing_revised_completion_flag,missing_sanction_date_flag,project_duration_days,project_duration_months,expenditure_ratio,progress_per_month,completion_date_difference_days,delay_days,delay_flag,cost_overrun,cost_overrun_percent,cost_overrun_flag
11,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",861,861.37,154.3,30,2026-06-21,2026-06-21,2022-07-01,0,0,0,0,1451.0,47.66754270696452,0.17921022067363532,0.6293590627153688,0.0,0.0,0.0,0.37000000000000455,0.04297328687572643,1.0
12,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",480,640.0,427.04,67,2021-09-14,2025-10-31,2018-07-27,0,0,0,0,1145.0,37.614980289093296,0.8896666666666667,1.7812052401746725,1508.0,1508.0,1.0,160.0,33.33333333333333,1.0
13,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",485,,74.67,19,2025-09-28,2026-03-16,2023-06-01,0,1,0,0,850.0,27.92378449408673,0.15395876288659793,0.6804235294117646,169.0,169.0,1.0,,,
14,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701126,"Development of Dholera International Greenfield Airport , Gujarat",1305,1551.0,666.42,63,2026-06-30,2026-06-30,2022-06-14,0,0,0,0,1477.0,48.52168199737188,0.5106666666666666,1.298388625592417,0.0,0.0,0.0,246.0,18.850574712643677,1.0
15,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",2870,,302.3,14,2027-07-20,2027-07-20,2024-07-01,0,1,0,0,1114.0,36.596583442838366,0.10533101045296167,0.3825493716337523,0.0,0.0,0.0,,,
16,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612194,Development of New Civil Enclave and associated works at Darbhanga Airport,912,,133.01,23,2026-01-07,,2024-07-01,0,1,1,0,555.0,18.232588699080157,0.145844298245614,1.2614774774774775,,,,,,
17,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611495,Development of New Civil Enclave at Bagdogra Airport,1549,1549.0,262.41,10,2027-01-03,2027-01-03,2024-08-01,0,0,0,0,885.0,29.07358738501971,0.16940606843124598,0.343954802259887,0.0,0.0,0.0,0.0,0.0,0.0
18,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612183,Development of New Civil Enclave at Bihta,1413,,0.0,1,2027-09-30,,2024-08-28,0,1,1,0,1128.0,37.056504599211564,0.0,0.026985815602836877,,,,,,
19,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701122,Development of New Integrated Civil Enclave at Agra Airport,579,,74.3,14,2026-07-04,,2024-06-01,0,1,1,0,763.0,25.065703022339026,0.12832469775474956,0.5585321100917432,,,,,,
20,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701105,Goa Airport Terminal Building Extension Project,256,255.69,130.0,88,2021-12-09,2025-09-30,2017-11-01,0,0,0,0,1499.0,49.24441524310118,0.5078125,1.7870046697798534,1391.0,1391.0,1.0,-0.3100000000000023,-0.12109375000000089,0.0
21,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Adani Airport Holdings Limited,706724,Guwahati Airport New Integrated Terminal Building Construction Project,1712,,0.0,94,2025-03-31,,2016-12-01,0,1,1,0,3042.0,99.93429697766096,0.0,0.9406180144641684,,,,,,
22,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Adani Airport Holdings Limited,701091,Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works,3100,,0.0,100,2026-03-31,,2018-06-01,0,1,1,0,2860.0,93.95532194480946,0.0,1.0643356643356645,,,,,,
23,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611602,"Modernization of Chennai Airport, Phase II, Part 2",1207,,376.47,21,2025-07-31,2026-03-31,2018-05-14,0,1,0,0,2635.0,86.56373193166885,0.3119055509527755,0.24259582542694497,243.0,243.0,1.0,,,
24,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611440,Procurment of 30 Nos ACFTs of WT Capacity 10KL at Various Airports,215,,104.92,53,2025-06-30,,,0,1,1,1,,,0.488,,,,,,,
25,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612791,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",328,,98.15,44,2025-02-10,2026-08-31,2023-04-01,0,1,0,0,681.0,22.371879106438897,0.2992378048780488,1.9667547723935388,567.0,567.0,1.0,,,
26,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, MOPA [without ASMGCS], HIAL & BIAL",500,,306.21,74,2025-09-11,,,0,1,1,1,,,0.61242,,,,,,,
27,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",323,,29.69,12,2026-02-06,,2023-11-01,0,1,1,0,828.0,27.201051248357423,0.09191950464396285,0.4411594202898551,,,,,,
28,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613800,JAGANNATHPUR OC RCE PROJECT[3.0 MTY],459,,274.35,92,2025-03-31,2026-03-31,2016-07-25,0,1,0,0,3171.0,104.17214191852825,0.5977124183006537,0.8831535793125197,365.0,365.0,1.0,,,
29,Coal,Ministry of Coal,Ministry of Coal,611016,2.0 MTPA BHOJUDIH NLW WASHERY,385,,353.21,97,2020-09-30,2025-09-30,2015-12-08,0,1,0,0,1758.0,57.75295663600525,0.9174285714285714,1.6795676905574517,1826.0,1826.0,1.0,,,
30,Coal,Ministry of Coal,Ministry of Coal,611017,2.5 MTPA PATHERDIH NLW WASHERY,334,,138.69,48,2018-04-30,2026-03-31,2015-10-31,0,1,0,0,912.0,29.96057818659658,0.4152395209580838,1.602105263157895,2892.0,2892.0,1.0,,,
31,Coal,Ministry of Coal,Western Coalfields Limited [WCL],616223,ADASA UG TO OC MINE,316,,308.84,86,2024-03-31,2026-03-31,2018-11-16,0,1,0,0,1962.0,64.45466491458606,0.9773417721518987,1.334271151885831,730.0,730.0,1.0,,,
32,Coal,Ministry of Coal,Ministry of Coal,400148,AMADAND OCP[4.0MTY],869,,274.45,75,2021-03-31,2027-03-31,2016-03-05,0,1,0,0,1852.0,60.84099868593955,0.31582278481012654,1.2327213822894167,2191.0,2191.0,1.0,,,
33,Coal,Ministry of Coal,Western Coalfields Limited [WCL],616229,AMAL GONDEGAON GHATROHANA EXPN OCP,669,,0.53,0,2030-03-31,,2024-09-10,0,1,1,0,2028.0,66.62286465177398,0.0007922272047832587,0.0,,,,,,
34,Coal,Ministry of Coal,Ministry of Coal,611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,4012,,398.5,28,2030-03-31,,2023-01-04,0,1,1,0,2643.0,86.82654402102496,0.09932701894317049,0.3224820279984866,,,,,,
35,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615185,AMALGAMATED DHANKASA & JAMUNIA UG,399,,72.21,67,2027-03-31,,2022-09-19,0,1,1,0,1654.0,54.33639947437582,0.18097744360902254,1.2330592503022975,,,,,,
36,Coal,Ministry of Coal,Western Coalfields Limited [WCL],616050,AMALGAMATED INDER-KAMPTEE DEEP OC,236,,237.12,98,2024-03-31,2026-03-31,2018-09-22,0,1,0,0,2017.0,66.26149802890933,1.0047457627118643,1.4789885969261278,730.0,730.0,1.0,,,
37,Coal,Ministry of Coal,Western Coalfields Limited [WCL],400177,AMALGAMATED YEKONA I & YEKONA II OC,727,,524.54,80,2025-03-31,2026-03-31,2015-08-12,0,1,0,0,3519.0,115.60446780551905,0.7215130674002751,0.6920147769252629,365.0,365.0,1.0,,,
38,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613798,AMERA OC RCE [1.0 MTY],336,,87.47,42,2026-03-31,,2015-02-04,0,1,1,0,4073.0,133.8042049934297,0.26032738095238095,0.3138914804812178,,,,,,
39,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613799,AMGAON OC RCE [1.0 MTY],316,,188.53,71,2026-03-31,,2015-07-25,0,1,1,0,3902.0,128.18659658344282,0.596613924050633,0.5538800615069196,,,,,,
40,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615916,AMLG GAURI PAUNI EXPANSION OC - 9.0 MTY,1225,,78.41,1,2030-03-31,,2024-04-26,0,1,1,0,2165.0,71.12352168199737,0.06400816326530612,0.014060046189376443,,,,,,
41,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),616233,BALABHADRA OCP,978,,211.36,8,2030-03-31,,2023-04-19,0,1,1,0,2538.0,83.37713534822602,0.21611451942740287,0.09594956658786447,,,,,,
42,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400183,BALARAM EXPANSION OCP,3504,,1027.23,52,2029-03-31,,2020-06-12,0,1,1,0,3214.0,105.58475689881735,0.2931592465753425,0.49249533291848163,,,,,,
43,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615330,BALLARPUR NORTH WEST OC MINE,361,,0.0,4,2029-03-31,,2022-12-16,0,1,1,0,2297.0,75.45992115637318,0.0,0.05300827165868525,,,,,,
44,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400149,BAROUD OC EXPANSION [3.0-10.0MTY],2310,,913.03,47,2029-03-31,,2020-08-04,0,1,1,0,3161.0,103.84362680683311,0.39525108225108224,0.4526036064536539,,,,,,
45,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),615193,BASUNDHARA WEST EXTENSION OPENCAST PRO,479,,259.2,62,2027-03-31,,2014-05-01,0,1,1,0,4717.0,154.96057818659656,0.5411273486430063,0.4001017595929617,,,,,,
46,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400392,BHARATPUR RE-ORGANIZATION OCP,2839,,1748.9,47,2029-03-31,,2018-11-12,0,1,1,0,3792.0,124.57293035479631,0.616026769989433,0.377289029535865,,,,,,
47,Coal,Ministry of Coal,Western Coalfields Limited [WCL],400033,BHATADI EXPANSION OC,581,,20.52,26,2028-03-31,,2022-05-19,0,1,1,0,2143.0,70.40078843626806,0.0353184165232358,0.3693140457302847,,,,,,
48,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400179,BHUBANESWARI EXPANSION OCP,3145,6321.73,1250.66,21,2031-03-31,,2023-01-04,0,0,1,0,3008.0,98.8173455978975,0.39766613672496026,0.21251329787234044,,,,3176.7299999999996,101.00890302066772,1.0
49,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),616231,BHUBANESWARI EXPN OCP 50 MTY,5366,,0.0,3,2033-03-31,,,0,1,1,1,,,0.0,,,,,,,
50,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],400369,BINA KAKRI AMALGAMATION EXPANSION OPENCAST MINING PROJECT [14 MTPA],836,,778.77,89,2024-03-31,2027-03-31,2020-08-25,0,1,0,0,1314.0,43.16688567674113,0.931543062200957,2.061765601217656,1095.0,1095.0,1.0,,,
51,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],400162,BLOCK B EXPANSION [3.5 TO 8.0 MTPA] OPENCAST COAL MINING PROJECT,999,,458.01,46,2023-03-31,2027-03-31,2019-07-22,0,1,0,0,1348.0,44.283837056504595,0.45846846846846845,1.038753709198813,1461.0,1461.0,1.0,,,
52,Coal,Ministry of Coal,Ministry of Coal,616253,BLOCK E OCP,5851,,0.0,2,2029-03-31,,2024-03-26,0,1,1,0,1831.0,60.15111695137976,0.0,0.033249590387766245,,,,,,
53,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400180,BONJEMEHARI EXPANSION OCP,570,570.11,81.29,16,2026-03-31,2026-03-31,2021-08-10,0,0,0,0,1694.0,55.65045992115637,0.1426140350877193,0.28750885478158206,0.0,0.0,0.0,0.11000000000001364,0.019298245614037483,1.0
54,Coal,Ministry of Coal,Ministry of Coal,400138,CHANDRAGUPT OCP,974,,440.32,15,2032-03-31,,2020-08-04,0,1,1,0,4257.0,139.84888304862022,0.45207392197125257,0.10725863284002819,,,,,,
55,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400145,CHHAL OC SEAM III [6 MTY],611,,577.46,85,2022-03-31,2025-09-30,2013-12-16,0,1,0,0,3027.0,99.44152431011827,0.9451063829787235,0.8547737033366369,1279.0,1279.0,1.0,,,
56,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400172,CHITRA EAST OC,514,,228.71,51,2026-03-31,,2018-08-11,0,1,1,0,2789.0,91.62286465177398,0.44496108949416346,0.5566296163499462,,,,,,
57,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],616225,CHUPERBHITA SIMLONG OCP MDO 6 MTY,979,,0.0,0,2037-03-31,,2023-12-29,0,1,1,0,4841.0,159.03416557161628,0.0,0.0,,,,,,
58,Coal,Ministry of Coal,Western Coalfields Limited [WCL],400353,DHUPTALA OC [SASTI UG TO OC ],711,,80.33,17,2028-03-31,,2021-10-08,0,1,1,0,2366.0,77.72667542706964,0.11298171589310829,0.21871513102282336,,,,,,
59,Coal,Ministry of Coal,Western Coalfields Limited [WCL],400178,DINESH[MAKARDHOKRA-III] OC,823,822.88,621.73,35,2027-03-31,,2020-02-11,0,0,1,0,2605.0,85.57818659658344,0.7554434993924666,0.4089827255278311,,,,-0.12000000000000455,-0.014580801944107479,0.0
60,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400354,DIPKA EXPANSION OCP [40 MTY],5241,,2675.0,37,2029-03-31,,2020-12-24,0,1,1,0,3019.0,99.17871222076215,0.5103987788589964,0.3730639284531302,,,,,,
61,Coal,Ministry of Coal,SECL - CIL,612838,DIPKA OC,7580,,3091.0,65,2025-03-31,,,0,1,1,1,,,0.4077836411609499,,,,,,,
62,Coal,Ministry of Coal,Ministry of Coal,400156,EPR AMRAPALI OCP,5136,,1125.18,43,2028-03-31,,2020-02-11,0,1,1,0,2971.0,97.60183968462549,0.21907710280373832,0.44056546617300574,,,,,,
63,Coal,Ministry of Coal,Ministry of Coal,400155,EPR ASHOK OC,2898,,176.6,21,2028-03-31,,2021-05-10,0,1,1,0,2517.0,82.68725361366623,0.06093857832988268,0.253969010727056,,,,,,
64,Coal,Ministry of Coal,Ministry of Coal,400154,EPR PUNDI OCP,713,,236.57,10,2027-03-31,,2020-11-11,0,1,1,0,2331.0,76.57687253613666,0.33179523141654976,0.1305877305877306,,,,,,
65,Coal,Ministry of Coal,Ministry of Coal,400153,EPR ROHINI - KARKETTA OCP,1020,,83.95,20,2028-03-31,,2021-01-18,0,1,1,0,2629.0,86.36662286465177,0.08230392156862745,0.23157093952073032,,,,,,
66,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615331,GADEGAON OC 3 MTY,497,,0.0,0,2030-03-31,,2023-10-28,0,1,1,0,2346.0,77.06964520367937,0.0,0.0,,,,,,
67,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615206,GANDHIGRAM UG MINE,414,,13.27,57,2026-03-31,,2019-08-31,0,1,1,0,2404.0,78.97503285151117,0.03205314009661835,0.721747088186356,,,,,,
68,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615917,GAURIDEEP/GAURI CENTRAL OCP 7.00 MTY CP,973,,0.11,0,2030-03-31,,2024-06-06,0,1,1,0,2124.0,69.7766097240473,0.00011305241521068859,0.0,,,,,,
69,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400424,GEVRA OC [70 MTY],11816,,5328.96,77,2023-03-31,2026-03-31,2016-03-05,0,1,0,0,2582.0,84.82260183968462,0.4509952606635071,0.9077769171185128,1096.0,1096.0,1.0,,,
70,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615914,GHONSA EXPANSION DEEP OC MINE 1.5 MTY,185,,10.48,6,2029-03-31,,2021-03-23,0,1,1,0,2930.0,96.25492772667542,0.05664864864864865,0.062334470989761095,,,,,,
71,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615860,Godavarikhani Coal Mine - 5,607,,178.82,71,2025-03-31,2026-03-31,2019-07-01,0,1,0,0,2100.0,68.98817345597897,0.2945963756177924,1.029161904761905,365.0,365.0,1.0,,,
72,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615192,GOKUL EXTENSION OC MINE,310,,29.85,8,2026-03-31,,2021-04-23,0,1,1,0,1803.0,59.23127463863337,0.09629032258064517,0.13506378258458127,,,,,,
73,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615862,Goleti Opencast Mine,346,,73.25,20,2026-03-31,,2021-07-01,0,1,1,0,1734.0,56.96452036793692,0.21170520231213874,0.3510957324106113,,,,,,
74,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400185,GOPALJI KANIHA OCP [10 TO 30 MTY],8416,6107.87,1694.31,17,2030-03-31,,2022-04-25,0,0,1,0,2897.0,95.17082785808147,0.20132010456273763,0.17862616499827408,,,,-2308.13,-27.425499049429657,0.0
75,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),616232,HINGULA II OC EXPN PH III 15 MTY,1562,,50.15,23,2029-03-31,,,0,1,1,1,,,0.032106274007682456,,,,,,,
76,Coal,Ministry of Coal,ECL - CIL,400018,HURA C OCP,859,,450.47,62,2029-03-31,,2022-08-10,0,1,1,0,2425.0,79.66491458607095,0.5244121071012806,0.7782597938144331,,,,,,
77,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615861,Indaram Opencast Project,425,,402.64,80,2025-03-31,2026-03-31,2017-08-01,0,1,0,0,2799.0,91.95137976346912,0.9473882352941176,0.8700250089317614,365.0,365.0,1.0,,,
78,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),616226,INTEGRATED KULDA GARJANBAHAL OCP 40 MTY,3564,,150.7,3,2033-03-31,,,0,1,1,1,,,0.04228395061728395,,,,,,,
79,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),400187,INTEGRATED LAKHANPUR-BELPAHAR-LILARI OCP,2435,,1805.65,61,2027-03-31,,2018-05-22,0,1,1,0,3235.0,106.27463863337714,0.7415400410677618,0.573984544049459,,,,,,
80,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],612816,ITAPARA OCP,929,,65.61,7,2030-03-31,,2023-12-29,0,1,1,0,2284.0,75.03285151116951,0.0706243272335845,0.09329246935201402,,,,,,
81,Coal,Ministry of Coal,SECL - CIL,613795,JAMPALI OC RCE [2.0 MTY],279,,210.07,82,2025-03-31,2025-06-30,2020-05-27,0,1,0,0,1769.0,58.1143232588699,0.7529390681003584,1.4110118711136237,91.0,91.0,1.0,,,
82,Coal,Ministry of Coal,CCL - CIL,616236,JARANGDIH EXPN. OCP 1.5 MTY,414,,85.6,26,2029-03-31,,2020-02-03,0,1,1,0,3344.0,109.85545335085413,0.20676328502415459,0.23667464114832537,,,,,,
83,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615818,Jawahar Khani Open Cast Mine,298,,46.39,20,2025-03-31,2027-03-31,2021-12-01,0,1,0,0,1216.0,39.94743758212878,0.15567114093959733,0.5006578947368421,730.0,730.0,1.0,,,
84,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],400312,JHANJRA EXPANSION UG,1210,,514.93,40,2029-03-31,,2020-04-16,0,1,1,0,3271.0,107.45729303547962,0.4255619834710743,0.3722409049220422,,,,,,
85,Coal,Ministry of Coal,Ministry of Coal,400352,JHARKHAND-LAIYO OCP,765,,145.81,25,2031-03-31,,2020-08-25,0,1,1,0,3870.0,127.1353482260184,0.1906013071895425,0.19664082687338502,,,,,,
86,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613803,JHIRIA WEST OCP [1.5 MTY],367,,25.07,41,2026-03-31,,2024-01-30,0,1,1,0,791.0,25.985545335085412,0.06831062670299727,1.5778002528445008,,,,,,
87,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615859,Kakathiya Khani Opencast - III Project Phase - I,414,,397.55,79,2026-03-31,,2017-03-01,0,1,1,0,3317.0,108.96846254927726,0.9602657004830918,0.7249804039794996,,,,,,
88,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615865,Kakatiyakhani OC - 2 Project,442,,203.15,63,2025-03-31,2026-03-31,2017-08-19,0,1,0,0,2781.0,91.36005256241786,0.45961538461538465,0.6895792880258901,365.0,365.0,1.0,,,
89,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],615858,Kalyanikhani Opencast Project,384,,281.83,75,2026-03-31,,2016-03-01,0,1,1,0,3682.0,120.9592641261498,0.7339322916666666,0.6200434546442151,,,,,,
90,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],613802,KANCHAN OC EXP,371,,144.61,47,2026-03-31,,2014-12-17,0,1,1,0,4122.0,135.41392904073587,0.3897843665768194,0.34708393983503155,,,,,,
91,Coal,Ministry of Coal,Ministry of Coal,400074,KARO EXPANSION OCP,908,,251.79,22,2029-03-31,,2022-01-24,0,1,1,0,2623.0,86.16951379763469,0.27730176211453744,0.25531071292413265,,,,,,
92,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],615191,KATKONA RO UG MINE,329,,60.3,2,2029-03-31,,2023-01-29,0,1,1,0,2253.0,74.01445466491458,0.18328267477203647,0.02702174877940524,,,,,,
93,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],615183,KHADIA EXPANSION [10 TO 16 MTPA] OPENCAST MINING PROJECT,492,,202.18,40,2025-03-31,2027-03-31,2021-06-01,0,1,0,0,1399.0,45.959264126149804,0.4109349593495935,0.8703359542530379,730.0,730.0,1.0,,,
94,Coal,Ministry of Coal,Western Coalfields Limited [WCL],617278,KOLARPIMPRI EXPANSION OC [2.5 MTY],630,,0.0,0,2030-03-31,,2024-06-05,0,1,1,0,2125.0,69.80946123521682,0.0,0.0,,,,,,
95,Coal,Ministry of Coal,Western Coalfields Limited [WCL],615199,KOLGAON EXPANSION DEEP OC MINE 0.80 MTY,199,,0.71,3,2027-03-31,,2023-09-28,0,1,1,0,1280.0,42.04993429697766,0.003567839195979899,0.07134375,,,,,,
96,Coal,Ministry of Coal,Ministry of Coal,400073,KONAR EXPANSION OCP,799,,426.16,46,2032-03-31,,2022-01-24,0,1,1,0,3719.0,122.1747700394218,0.5333667083854818,0.3765098144662544,,,,,,
97,Coal,Ministry of Coal,Ministry of Coal,400139,KOTRE BASANTPUR PACHMO OCP,861,625.4,441.05,41,2032-03-31,,2020-08-04,0,0,1,0,4257.0,139.84888304862022,0.512253193960511,0.29317359642941043,,,,-235.60000000000002,-27.36353077816493,0.0
98,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],400147,KUSMUNDA OC EXPANSION [15 TO 50 MTY],7612,,4697.95,81,2023-03-31,2030-03-31,2013-08-03,0,1,0,0,3527.0,115.86727989487515,0.6171768260641093,0.6990757017295153,2557.0,2557.0,1.0,,,
