project_code,project_name,sector,physical_progress,expenditure,delay_probability,cost_overrun_probability,overall_risk_percentage,overall_risk_level,top_delay_factors,top_cost_overrun_factors
706718,C/o NITB Imphal Airport,Aviation & Aviation Infrastructure,41,160.48,0.785,0.0,39.25,Low Risk,progress_per_month: increases delay risk | project_duration_days: increases delay risk | project_duration_months: increases delay risk | ministry_Ministry of Railways: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: increases delay risk,expenditure_ratio: reduces cost-overrun risk | sector_Aviation & Aviation Infrastructure: reduces cost-overrun risk | agency_Airport Authority of India [AAI]: reduces cost-overrun risk | ministry_Ministry of Civil Aviation: reduces cost-overrun risk | physical_progress: reduces cost-overrun risk
617282,"C/o 184 MS Flats for Hon'ble MPs at BKS Marg, New Delhi",Construction,98,518.46,0.99,0.0,49.5,Medium Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk | project_duration_months: increases delay risk,agency_Central Public Works Department [CPWD]: reduces cost-overrun risk | sector_Construction: reduces cost-overrun risk | progress_per_month: increases cost-overrun risk | sector_Oil & Gas: reduces cost-overrun risk | ministry_Ministry of Railways: reduces cost-overrun risk
612203,Academic Block 1 & 2,Education,16,22.15,0.6,1.0,80.0,High Risk,"physical_progress: reduces delay risk | expenditure: reduces delay risk | agency_Indian Institute of Technology, Bombay: increases delay risk | ministry_Ministry of Railways: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: increases delay risk","agency_Indian Institute of Technology, Bombay: increases cost-overrun risk | sector_Education: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | ministry_Department of Higher Education: increases cost-overrun risk | sector_Oil & Gas: increases cost-overrun risk"
610940,"Additional Infrastructure at IISc Bangalore-RCC Monolithic for Men Hostel S14, Women Hostel S11 , Postdoctoral Hostel S12 2 Block , International Hostel S 12 , D&E Block S 12 2 Block FR.",Education,99,360.72,0.97,1.0,98.5,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | ministry_Ministry of Railways: increases delay risk | progress_per_month: increases delay risk | sector_Railways: increases delay risk,progress_per_month: increases cost-overrun risk | physical_progress: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | agency_IISC Bangalore: increases cost-overrun risk | sector_Railways: increases cost-overrun risk
602098,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,96,484.52,0.985,1.0,99.25,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | ministry_Ministry of Railways: increases delay risk | progress_per_month: increases delay risk | sector_Railways: increases delay risk,"expenditure_ratio: increases cost-overrun risk | physical_progress: increases cost-overrun risk | agency_Indian Institute of Management, Jammu: increases cost-overrun risk | progress_per_month: increases cost-overrun risk | sector_Railways: increases cost-overrun risk"
606431,CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE 1A,Education,66,615.95,0.91,1.0,95.5,High Risk,physical_progress: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk | expenditure_ratio: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: increases delay risk,physical_progress: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | agency_INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD: increases cost-overrun risk | sector_Education: increases cost-overrun risk
612876,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",Education,4,167.55,0.06,0.275,16.75,Low Risk,physical_progress: reduces delay risk | progress_per_month: reduces delay risk | project_duration_months: reduces delay risk | expenditure_ratio: reduces delay risk | project_duration_days: reduces delay risk,physical_progress: reduces cost-overrun risk | agency_Ministry of Education: reduces cost-overrun risk | expenditure_ratio: reduces cost-overrun risk | sector_Oil & Gas: increases cost-overrun risk | progress_per_month: reduces cost-overrun risk
612894,"Construction of Permanent Campus of Central University of Himachal Pradesh at Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC Mode 1] Basis.",Education,78,183.36,0.96,1.0,98.0,High Risk,expenditure_ratio: increases delay risk | physical_progress: increases delay risk | ministry_Ministry of Railways: increases delay risk | progress_per_month: increases delay risk | sector_Railways: increases delay risk,"sector_Railways: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | physical_progress: increases cost-overrun risk | agency_Central University, Himachal Pradesh: increases cost-overrun risk | sector_Education: increases cost-overrun risk"
612877,Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II],Education,94,509.24,0.995,0.0,49.75,Medium Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk | sector_Railways: increases delay risk,"agency_National Institute of Technology, Puducherry: reduces cost-overrun risk | original_cost: reduces cost-overrun risk | expenditure: reduces cost-overrun risk | sector_Water Resources: reduces cost-overrun risk | sector_Oil & Gas: reduces cost-overrun risk"
612883,Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District,Education,7,121.56,0.045,0.0,2.25,Low Risk,physical_progress: reduces delay risk | progress_per_month: reduces delay risk | expenditure_ratio: reduces delay risk | expenditure: reduces delay risk | agency_Ministry of Education: reduces delay risk,physical_progress: reduces cost-overrun risk | expenditure_ratio: reduces cost-overrun risk | agency_Ministry of Education: reduces cost-overrun risk | progress_per_month: reduces cost-overrun risk | sector_Water Resources: reduces cost-overrun risk
602099,Establishment of Permanent campus Phase 1 of IIM Sirmaur,Education,92,320.75,0.99,1.0,99.5,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk | sector_Railways: increases delay risk,"agency_Indian Institute of Management, Sirmaur: increases cost-overrun risk | physical_progress: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | ministry_Department of Higher Education: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk"
609019,"HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur",Education,87,382.6,0.99,0.0,49.5,Medium Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | ministry_Ministry of Railways: increases delay risk | progress_per_month: increases delay risk | sector_Railways: increases delay risk,"agency_Indian Institute of Technology, Kharagpur: reduces cost-overrun risk | expenditure_ratio: reduces cost-overrun risk | physical_progress: reduces cost-overrun risk | sector_Water Resources: reduces cost-overrun risk | ministry_Department of Water Resources, River Development & GR: reduces cost-overrun risk"
610315,IISER BERHAMPUR,Education,97,835.55,0.98,0.84,91.0,High Risk,physical_progress: increases delay risk | progress_per_month: increases delay risk | expenditure_ratio: increases delay risk | ministry_Ministry of Railways: increases delay risk | project_duration_months: increases delay risk,progress_per_month: increases cost-overrun risk | physical_progress: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | sector_Education: increases cost-overrun risk | ministry_Department of Higher Education: increases cost-overrun risk
612819,300 MW SPP part of 510 MW CPSU scheme,Electricity Generation,68,769.57,0.92,0.0,46.0,Medium Risk,physical_progress: increases delay risk | sector_Electricity Generation: increases delay risk | ministry_Ministry of Coal: increases delay risk | ministry_Ministry of Railways: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: increases delay risk,expenditure_ratio: reduces cost-overrun risk | ministry_Ministry of Coal: reduces cost-overrun risk | agency_NLC India Limited [NLCIL]: reduces cost-overrun risk | ministry_Ministry of Power: reduces cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk
400259,Ghatampur Thermal Power Plant 3 X 660 MW,Electricity Generation,92,20135.5,0.99,1.0,99.5,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | expenditure: increases delay risk | sector_Electricity Generation: increases delay risk | original_cost: increases delay risk,expenditure_ratio: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | physical_progress: increases cost-overrun risk | expenditure: increases cost-overrun risk | sector_Railways: increases cost-overrun risk
602579,Buxar Thermal Power Project [1320 MW],Electricity Generation,92,11971.0,1.0,1.0,100.0,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | expenditure: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | physical_progress: increases cost-overrun risk
602582,Dhaulasidh Hydro Electric Project [66 MW],Electricity Generation,67,908.65,0.995,1.0,99.75,High Risk,expenditure_ratio: increases delay risk | progress_per_month: increases delay risk | physical_progress: increases delay risk | ministry_Ministry of Railways: increases delay risk | sector_Electricity Generation: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | agency_Satluj Jal Vidyut Nigam [SJVN] Thermal Limited: increases cost-overrun risk
602538,Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,Electricity Generation,91,1085.39,0.925,1.0,96.25,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | sector_Electricity Generation: increases delay risk | expenditure: increases delay risk | ministry_Ministry of Railways: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk
602194,Khurja super Thermal Power Plant [2X660 MW],Electricity Generation,96,12429.0,1.0,1.0,100.0,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | expenditure: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | physical_progress: increases cost-overrun risk | sector_Railways: increases cost-overrun risk
602593,Luhri Stage-I Hydro Electric Project [210 MW],Electricity Generation,51,1742.92,0.935,1.0,96.75,High Risk,expenditure_ratio: increases delay risk | sector_Electricity Generation: increases delay risk | expenditure: increases delay risk | physical_progress: reduces delay risk | project_duration_months: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | sector_Railways: increases cost-overrun risk
400261,Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW],Electricity Generation,81,17365.0,0.99,1.0,99.5,High Risk,physical_progress: increases delay risk | expenditure: increases delay risk | expenditure_ratio: increases delay risk | progress_per_month: increases delay risk | sector_Electricity Generation: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | agency_National Thermal Power Corporation [NTPC]: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | sector_Railways: increases cost-overrun risk
605156,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] -A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,Electricity Generation,90,1554.15,1.0,1.0,100.0,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | progress_per_month: increases delay risk | expenditure: increases delay risk | project_duration_months: increases delay risk,expenditure_ratio: increases cost-overrun risk | ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | agency_National Highways & Infrastructure Development Corporation Ltd. [NHIDCL]: increases cost-overrun risk | progress_per_month: increases cost-overrun risk
602096,Subansiri Lower HE Project [2000 MW],Electricity Generation,96,24685.1,0.985,1.0,99.25,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | expenditure: increases delay risk | progress_per_month: increases delay risk | original_cost: increases delay risk,expenditure_ratio: increases cost-overrun risk | ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | physical_progress: increases cost-overrun risk | expenditure: increases cost-overrun risk
611586,Sunni Dam Hydro Electric Project [382 MW],Electricity Generation,29,956.76,0.85,0.945,89.75,High Risk,sector_Electricity Generation: increases delay risk | physical_progress: reduces delay risk | expenditure: increases delay risk | ministry_Ministry of Power: increases delay risk | project_duration_days: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | expenditure_ratio: reduces cost-overrun risk | agency_Satluj Jal Vidyut Nigam [SJVN] Thermal Limited: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk
602961,Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion,Electricity Generation,26,3975.0,0.9,1.0,95.0,High Risk,expenditure: increases delay risk | sector_Electricity Generation: increases delay risk | original_cost: increases delay risk | physical_progress: reduces delay risk | ministry_Ministry of Power: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | agency_National Thermal Power Corporation [NTPC]: increases cost-overrun risk | expenditure_ratio: reduces cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk
602185,Tapovan-Vishnugad HEP [4x130 MW],Electricity Generation,77,7123.58,0.975,1.0,98.75,High Risk,physical_progress: increases delay risk | expenditure: increases delay risk | expenditure_ratio: increases delay risk | sector_Electricity Generation: increases delay risk | ministry_Ministry of Power: increases delay risk,expenditure_ratio: increases cost-overrun risk | ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | agency_National Thermal Power Corporation [NTPC]: increases cost-overrun risk | physical_progress: increases cost-overrun risk
602181,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",Electricity Generation,68,4495.28,0.995,1.0,99.75,High Risk,expenditure_ratio: increases delay risk | expenditure: increases delay risk | physical_progress: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | agency_National Highways & Infrastructure Development Corporation Ltd. [NHIDCL]: increases cost-overrun risk
602193,Tehri Pumped Storage Plant Project [4x250 MW],Electricity Generation,98,7939.82,0.865,1.0,93.25,High Risk,physical_progress: increases delay risk | expenditure: increases delay risk | expenditure_ratio: increases delay risk | sector_Electricity Generation: increases delay risk | ministry_Ministry of Power: increases delay risk,expenditure_ratio: increases cost-overrun risk | ministry_Ministry of Power: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | physical_progress: increases cost-overrun risk | agency_THDC India Limited: increases cost-overrun risk
602195,Vishnugad Pipalkoti Hydro Electric Project [444 MW],Electricity Generation,72,4828.89,0.86,1.0,93.0,High Risk,physical_progress: increases delay risk | expenditure: increases delay risk | expenditure_ratio: increases delay risk | ministry_Ministry of Power: increases delay risk | sector_Electricity Generation: increases delay risk,ministry_Ministry of Power: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | sector_Electricity Generation: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk
604833,"Andheri Residential Towers, Mumbai",Energy Storage,50,227.54,0.65,1.0,82.5,High Risk,expenditure_ratio: increases delay risk | physical_progress: reduces delay risk | project_duration_months: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: reduces delay risk | project_duration_days: increases delay risk,physical_progress: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | sector_Energy Storage: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk
701269,"Construction of 80,000 MT LPG Cavern at Mangalore",Energy Storage,99,712.3,0.935,0.0,46.75,Medium Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | ministry_Ministry of Railways: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: reduces delay risk | project_duration_months: increases delay risk,physical_progress: reduces cost-overrun risk | agency_Ministry of Petroleum & Natural Gas: reduces cost-overrun risk | sector_Energy Storage: reduces cost-overrun risk | sector_Oil & Gas: reduces cost-overrun risk | original_cost: reduces cost-overrun risk
616235,Construction of Aviation Fuel farm Facilities at Bhogapuram Airport,Energy Storage,50,31.23,0.05,0.0,2.5,Low Risk,expenditure_ratio: reduces delay risk | physical_progress: reduces delay risk | expenditure: reduces delay risk | ministry_Ministry of Petroleum & Natural Gas: reduces delay risk | project_duration_months: increases delay risk,expenditure_ratio: reduces cost-overrun risk | expenditure: reduces cost-overrun risk | original_cost: reduces cost-overrun risk | agency_Ministry of Petroleum & Natural Gas: reduces cost-overrun risk | sector_Water Resources: reduces cost-overrun risk
709754,"Construction of LPG Facilities at Kamardanga, Assam",Energy Storage,39,49.78,0.045,1.0,52.25,Medium Risk,physical_progress: reduces delay risk | expenditure: reduces delay risk | ministry_Ministry of Petroleum & Natural Gas: reduces delay risk | expenditure_ratio: reduces delay risk | agency_Hindustan Petroleum Corporation Limited: reduces delay risk,sector_Energy Storage: increases cost-overrun risk | sector_Oil & Gas: increases cost-overrun risk | agency_Hindustan Petroleum Corporation Limited: increases cost-overrun risk | physical_progress: increases cost-overrun risk | sector_Railways: increases cost-overrun risk
400077,"Grass root POL Terminal at Vallur, Chennai",Energy Storage,85,619.5,0.775,1.0,88.75,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: reduces delay risk | ministry_Ministry of Railways: increases delay risk | project_duration_months: increases delay risk,sector_Energy Storage: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | physical_progress: increases cost-overrun risk | agency_Indian Oil Corporation Limited [IOCL]: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk
400035,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",Energy Storage,84,465.73,0.22,0.0,11.0,Low Risk,ministry_Ministry of Petroleum & Natural Gas: reduces delay risk | physical_progress: increases delay risk | agency_Indian Oil Corporation Limited [IOCL]: reduces delay risk | expenditure: reduces delay risk | expenditure_ratio: increases delay risk,expenditure_ratio: reduces cost-overrun risk | expenditure: reduces cost-overrun risk | physical_progress: reduces cost-overrun risk | agency_Indian Oil Corporation Limited [IOCL]: reduces cost-overrun risk | original_cost: reduces cost-overrun risk
604852,"Grass-root Terminal at Mirzapur, Uttar Pradesh",Energy Storage,50,236.22,0.04,1.0,52.0,Medium Risk,expenditure_ratio: reduces delay risk | physical_progress: reduces delay risk | ministry_Ministry of Petroleum & Natural Gas: reduces delay risk | expenditure: reduces delay risk | project_duration_days: increases delay risk,physical_progress: increases cost-overrun risk | sector_Energy Storage: increases cost-overrun risk | original_cost: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk
400043,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],Energy Storage,62,297.77,0.25,0.0,12.5,Low Risk,expenditure_ratio: reduces delay risk | ministry_Ministry of Petroleum & Natural Gas: reduces delay risk | expenditure: reduces delay risk | project_duration_days: increases delay risk | project_duration_months: increases delay risk,expenditure_ratio: reduces cost-overrun risk | sector_Energy Storage: reduces cost-overrun risk | sector_Oil & Gas: reduces cost-overrun risk | agency_Ministry of Petroleum & Natural Gas: reduces cost-overrun risk | expenditure: reduces cost-overrun risk
400301,Multi Product Pipeline from Irugur to Devangonthi,Energy Storage,67,675.25,0.845,1.0,92.25,High Risk,expenditure_ratio: increases delay risk | physical_progress: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: reduces delay risk | project_duration_months: increases delay risk | ministry_Ministry of Railways: increases delay risk,"agency_Department of Water Resources, River Development & GR: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | physical_progress: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk"
400078,New Mundra Panipat Crude Oil Pipeline,Energy Storage,84,7071.08,0.97,0.75,86.0,High Risk,expenditure_ratio: increases delay risk | physical_progress: increases delay risk | expenditure: increases delay risk | original_cost: increases delay risk | ministry_Ministry of Railways: increases delay risk,expenditure: increases cost-overrun risk | original_cost: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk
701349,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,Energy Storage,86,9701.95,0.975,1.0,98.75,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | expenditure: increases delay risk | original_cost: increases delay risk | ministry_Ministry of Railways: increases delay risk,expenditure_ratio: increases cost-overrun risk | expenditure: increases cost-overrun risk | physical_progress: increases cost-overrun risk | original_cost: increases cost-overrun risk | sector_Railways: increases cost-overrun risk
